"title","NL_SystemSpecialField"
"Actuaría","Contabilidad y Finanzas"
"Administración","Administración"
"Administración","Marketing, Publicidad y Relaciones Públicas"
"Administración","Ventas"
"Administración","Turismo, Hospitalidad y Gastronomía"
"Administración de Empresas","Administración"
"Administración de Empresas","Biología"
"Administración de empresas","Recursos humanos"
"Administración de empresas","Ventas"
"Administración de empresas","Turismo, Hospitalidad y Gastronomía"
"Administración de empresas turísticas","Administración"
"Administracion de empresas turisticas","Recursos humanos"
"Administración de Empresas Turísticas","Turismo, Hospitalidad y Gastronomía"
"Administracion de la construccion","Arquitectura y Construcción"
"Administración de la hospitalidad","Administración"
"Administración de negocios","Administración"
"Administración de negocios de comunicación y entretenimiento","Marketing, Publicidad y Relaciones Públicas"
"Administración de Negocios en calidad y productividad","Fabricación, producción y operación"
"Administración de Negocios Internacionales","Recursos humanos"
"Administración de Negocios Internacionales","Logística, Transporte y Distribución"
"Administración de Negocios Internacionales","Marketing, Publicidad y Relaciones Públicas"
"Administracion de recursos humanos","Recursos humanos"
"Administración Empresarial","Administración"
"Administración Financiera","Contabilidad y Finanzas"
"Administración Financiera","Administración"
"Administración Hotelera","Administración"
"Administración Turística","Administración"
"Administración y Dirección de Empresas","Administración"
"Administración y Dirección de empresas","Marketing, Publicidad y Relaciones Públicas"
"Administración y Estrategia de Negocios","Administración"
"Administración y estrategia de negocios","Creatividad y Diseño"
"Administración y Estrategia de Negocios","Marketing, Publicidad y Relaciones Públicas"
"Administración y Finanzas","Contabilidad y Finanzas"
"Administración y Finanzas","Administración"
"Administración y Finanzas","Ventas"
"Administración y Mercadotecnia","Administración"
"Administración y Mercadotecnia","Marketing, Publicidad y Relaciones Públicas"
"Animación y Arte Digital","Contabilidad y Finanzas"
"Animación y arte digital","Creatividad y Diseño"
"Arquitectura","Contabilidad y Finanzas"
"Arquitectura","Arquitectura y Construcción"
"Arquitectura","Ciencias de la Computación"
"Arquitectura","Comunicación"
"Biotecnología","Biología"
"Biotecnología","Ingeniería"
"Ciencias de la Computación","Ingeniería"
"Ciencias de la comunicación","Contabilidad y Finanzas"
"Ciencias De La Comunicación","Ciencias de la Computación"
"Ciencias de la Comunicación","Comunicación"
"Ciencias de la comunicación","Creatividad y Diseño"
"Ciencias de la comunicación","Recursos humanos"
"Ciencias de la Comunicación","Marketing, Publicidad y Relaciones Públicas"
"Ciencias de la Comunicación","Fotografía y Cine"
"Ciencias de la Educacion","Educación"
"Ciencias de la Informática","Ciencias de la Computación"
"Ciencias políticas y administración pública","Administración"
"Ciencias Políticas y Administración Pública","Recursos humanos"
"Ciencias y Técnicas de la Comunicación","Contabilidad y Finanzas"
"Ciencias y Técnicas de la Comunicación","Administración"
"Ciencias y Técnicas de la Comunicación","Ciencias de la Computación"
"Ciencias y Técnicas de la comunicación","Comunicación"
"Ciencias y técnicas de la comunicación","Marketing, Publicidad y Relaciones Públicas"
"Cirujano Dentista","Sector Salud"
"Comercio Internacional","Administración"
"Comercio Internacional","Arquitectura y Construcción"
"Comercio Internacional","Logística, Transporte y Distribución"
